id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
4499,66-80,1,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5970
4501,66-80,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,5972
4548,55-65,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,92,5900
4550,0,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,5902
4552,31-54,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5904
4617,55-65,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,5843
4618,81-95,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5844
4619,31-54,0,50001-,Trois-Rivières,Mauricie,Sainte-Marthe,G8V,86,5845
4620,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,5846
4631,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5840
4633,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,5836
4634,31-54,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,5835
4635,0,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5837
4694,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5777
4749,31-54,0,50001-,Trois-Rivières,Mauricie,Pointe du Lac,G9B,86,5720
4802,0,1,30001-50000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5661
4812,55-65,0,0,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5660
4818,66-80,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5657
4819,0,1,0,Parisville,Centre-du-Québec,,G1K,116,5659
4821,31-54,0,0-10000,Saint-Boniface,Mauricie,,G0X,92,5650
4830,81-95,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5644
4950,66-80,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5524
4959,31-54,1,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5515
4963,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G1V,86,5510
4969,66-80,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5505
4970,0,0,20001-30000,Trois-Rivières,Mauricie,Saint-Louis de France,G8W,86,5506
5004,0,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5466
5008,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5458
5031,31-54,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5445
5043,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5413
5044,66-80,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,5414
5053,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5424
5054,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5425
5081,31-54,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5387
5149,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5327
5167,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,5298
5168,81-95,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,5299
5244,55-65,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5234
5290,55-65,1,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,5163
5320,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5147
5336,31-54,0,50001-,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,86,5134
5355,55-65,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5120
5356,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5121
5366,31-54,0,30001-50000,Trois-Rivières,Mauricie,Pointe du Lac,G9B,86,5089
5392,66-80,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,5078
5415,31-54,0,20001-30000,Nicolet,Centre-du-Québec,,J3T,86,5049
5416,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,5050
5418,31-54,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5052
5419,31-54,0,50001-,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Z,86,5053
5420,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,5054
5421,31-54,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,5055
5456,66-80,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,5015
5457,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5016
5506,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4969
5513,31-54,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4950
5514,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4951
5516,66-80,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4953
5529,31-54,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4946
5540,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4927
5554,55-65,1,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4913
5576,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4900
5581,0,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4895
5596,55-65,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4874
5629,31-54,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4834
5660,0,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4814
5665,66-80,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4798
5694,0,0,10001-20000,Saint-Mathieu-du-Parc,Mauricie,,G0X,92,4784
5701,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8T,86,4770
5706,66-80,0,0,Champlain,Mauricie,,G0X,86,4775
5726,81-95,0,0-10000,Shawinigan,Mauricie,,G9T,92,4745
5727,31-54,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4746
5776,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4698
5777,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4699
5806,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4681
5807,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8T,86,4682
5810,31-54,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4685
5819,66-80,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4659
5820,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4660
5836,31-54,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,4639
5859,31-54,0,30001-50000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Y,86,4616
5886,66-80,0,0,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Z,86,4577
5928,31-54,0,0-10000,Saint-Adelphe,Mauricie,,G0X,86,4549
5939,31-54,1,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9H,86,4546
5941,31-54,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,4548
5969,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4507
6013,81-95,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,4461
6014,31-54,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4460
6018,66-80,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4465
6036,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,4442
6042,31-54,0,30001-50000,Saint-Maurice,Mauricie,,G0X,86,4435
6044,31-54,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,4437
6090,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4380
6148,66-80,1,30001-50000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1N,88,4328
6170,0,\N,,Saint-Raymond,Capitale-Nationale,,G3L,111,4299
6177,31-54,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4293
6217,31-54,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,86,4261
6234,0,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8T,86,4242
6272,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,4203
6317,0,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9C,86,4149
6334,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4146
6346,31-54,1,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,4139
6347,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4140
6353,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,4117
6375,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,4108
6411,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,4063
6434,0,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,4039
6461,66-80,1,50001-,Notre-Dame-du-Mont-Carmel,Mauricie,,G0X,86,4024
6462,0,1,0,Trois-Rivières,Mauricie,Saint-Louis de France,G8W,86,4011
6465,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,4006
6483,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3995
6506,0,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,86,3963
6530,66-80,0,0,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1N,88,3943
6538,66-80,1,30001-50000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3938
6543,66-80,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3934
6550,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3922
6551,55-65,0,0-10000,Trois-Rivières,Mauricie,Pointe du Lac,G9A,86,3923
6552,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,3924
6553,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3925
6564,31-54,1,0,Shawinigan,Mauricie,,G9N,92,3908
6565,66-80,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,3909
6604,66-80,0,20001-30000,Sainte-Anne-de-la-Pérade,Mauricie,,G0Y,86,3878
6612,55-65,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3864
6638,66-80,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9C,86,3836
6639,31-54,0,0-10000,Trois-Rivières,Mauricie,Saint-Louis de France,G8T,86,3837
6640,0,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9C,86,3838
6654,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3826
6655,0,0,0,Batiscan,Mauricie,,G0X,86,3811
6666,96-150,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,3797
6667,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3798
6672,0,1,0,Trois-Rivières,Mauricie,Sainte-Marthe,G8V,86,3795
6679,55-65,1,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,3804
6688,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,3786
6689,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3787
6692,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,3781
6746,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3729
6747,31-54,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,3727
6767,66-80,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3710
6787,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3688
6789,66-80,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3690
6793,66-80,1,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,92,3676
6794,66-80,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3677
6805,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8W,86,3669
6824,96-150,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,J9A,86,3636
6846,55-65,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3626
6855,31-54,1,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3618
6856,66-80,1,30001-50000,Trois-Rivières,Mauricie,Sainte-Marthe,G8A,86,3619
6862,18-30,0,50001-,Bécancour,Centre-du-Québec,,G9H,86,3606
6880,0,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,3600
6903,0,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3568
