,Vertices,Edges,Mean degree,Size of weakly connected component,Power Law Alpha,Local clustering coefficient,Global clustering coefficient,Homophily by degree,Region,Sociability,Date
0,633.0,6865.0,10.845181674565561,0.9052132701421801,4.05390062056583,0.05760863726701402,0.05517594500143136,0.009203567295150209,0.1,0.1,0.1
1,633.0,6865.0,10.845181674565561,0.9067930489731437,4.932563804369428,0.06399746153285962,0.062388418784155866,0.007841486809656288,0.1,0.1,0.2
2,633.0,6865.0,10.845181674565561,0.8862559241706162,3.902938518390277,0.06203028308097432,0.0654123153831502,0.0027458921511455485,0.1,0.1,0.30000000000000004
3,633.0,6865.0,10.845181674565561,0.8783570300157978,6.252074756258241,0.06384891621670499,0.06268573847213817,0.006230665749777097,0.1,0.1,0.4
4,633.0,6865.0,10.845181674565561,0.9004739336492891,5.377656309754471,0.07162655638171499,0.07424817729284332,-0.012382782439652398,0.1,0.1,0.5
5,633.0,6865.0,10.845181674565561,0.8894154818325435,5.8742925651458675,0.06276748981854734,0.06253654136285403,-0.0030961502878041696,0.1,0.1,0.6
6,633.0,6865.0,10.845181674565561,0.8799368088467614,5.9718949303225894,0.06136079472015447,0.06070802537447417,0.004392755939995536,0.1,0.1,0.7000000000000001
7,633.0,6865.0,10.845181674565561,0.9225908372827805,6.232719958218506,0.06154356374662434,0.06500710562408232,-0.0027981767119481878,0.1,0.1,0.8
8,633.0,6865.0,10.845181674565561,0.8846761453396524,4.338292786821969,0.06416643625873159,0.06579732403252767,-0.003610314102955025,0.1,0.1,0.9
9,633.0,6865.0,10.845181674565561,0.8815165876777251,4.9279356092880615,0.06491880678160097,0.06160810936092546,0.0017375874814486057,0.1,0.1,1.0
10,633.0,6865.0,10.845181674565561,0.8941548183254344,6.317441268563297,0.06233676868460973,0.06241699145551085,0.003269634617106818,0.1,0.1,2.0
11,633.0,6865.0,10.845181674565561,0.9399684044233807,5.674436631329068,0.05968295404307278,0.06228877903700723,-0.0031176618809612274,0.1,0.2,0.1
12,633.0,6865.0,10.845181674565561,0.9447077409162717,15.306455033697398,0.06128930817610063,0.06385082507148257,0.006904076757554742,0.1,0.2,0.2
13,633.0,6865.0,10.845181674565561,0.9447077409162717,10.396186321523826,0.06101090125154651,0.06119621760737167,0.028730775594105605,0.1,0.2,0.30000000000000004
14,633.0,6865.0,10.845181674565561,0.9494470774091627,5.534560650510002,0.057433337261497915,0.057612501564821984,0.011749588812184828,0.1,0.2,0.4
15,633.0,6865.0,10.845181674565561,0.943127962085308,5.505584065107958,0.059657051708095175,0.06052726471324831,0.00925678210449275,0.1,0.2,0.5
16,633.0,6865.0,10.845181674565561,0.9368088467614534,6.200895231839521,0.05858751873157055,0.06016654735920985,-0.006490093687755491,0.1,0.2,0.6
17,633.0,6865.0,10.845181674565561,0.9494470774091627,6.285809393127743,0.05700445881293598,0.061726022252222124,-0.007289160268790607,0.1,0.2,0.7000000000000001
18,633.0,6865.0,10.845181674565561,0.9447077409162717,8.742062821341698,0.05559927857025742,0.057011452366069505,0.014746699338777114,0.1,0.2,0.8
19,633.0,6865.0,10.845181674565561,0.933649289099526,4.765490322921654,0.06313123417028861,0.06433561412605783,-0.0027756441760947615,0.1,0.2,0.9
20,633.0,6865.0,10.845181674565561,0.9494470774091627,5.1876899640010725,0.05823562404850298,0.05902596812127876,-0.014341569932622283,0.1,0.2,1.0
21,633.0,6865.0,10.845181674565561,0.9478672985781991,6.222728038264608,0.059604230456955155,0.05949494242840119,-0.014724398579685266,0.1,0.2,2.0
22,633.0,6865.0,10.845181674565561,0.966824644549763,6.011245904917279,0.058348938742249015,0.0589619699464814,0.03599133183518416,0.1,0.30000000000000004,0.1
23,633.0,6865.0,10.845181674565561,0.9684044233807267,4.861274669665365,0.05769388817357477,0.05943173845329883,0.01365517147612619,0.1,0.30000000000000004,0.2
24,633.0,6865.0,10.845181674565561,0.9589257503949447,7.958715906931806,0.05575936654438007,0.05561160747974603,-0.007162196839117964,0.1,0.30000000000000004,0.30000000000000004
25,633.0,6865.0,10.845181674565561,0.9684044233807267,6.483641395054755,0.05871366056097706,0.0592468840577072,0.008015954796855471,0.1,0.30000000000000004,0.4
26,633.0,6865.0,10.845181674565561,0.966824644549763,4.2676481307544565,0.06192136273967455,0.06159003759694591,0.00406299584545745,0.1,0.30000000000000004,0.5
27,633.0,6865.0,10.845181674565561,0.9605055292259084,3.576466148841625,0.06107108308268093,0.062003351122719576,-0.015168311359205029,0.1,0.30000000000000004,0.6
28,633.0,6865.0,10.845181674565561,0.9684044233807267,5.427696954318536,0.05753277885702845,0.056114667934254174,0.028188432448366725,0.1,0.30000000000000004,0.7000000000000001
29,633.0,6865.0,10.845181674565561,0.9747235387045814,4.468578380590836,0.05718448470187206,0.058008221962192706,-0.000908933403630761,0.1,0.30000000000000004,0.8
30,633.0,6865.0,10.845181674565561,0.9636650868878357,4.249745731902883,0.06048593623287379,0.060668895351870894,0.01747829622371186,0.1,0.30000000000000004,0.9
31,633.0,6865.0,10.845181674565561,0.966824644549763,6.73517867586986,0.05332304233292505,0.05282102142744165,-0.0080981536492498,0.1,0.30000000000000004,1.0
32,633.0,6865.0,10.845181674565561,0.9699842022116903,6.954342235270243,0.0579340763117934,0.06026323569752038,0.01622633802348058,0.1,0.30000000000000004,2.0
33,633.0,6865.0,10.845181674565561,0.976303317535545,5.95341813440398,0.057293558337082794,0.05882083763622657,-0.006696421463598903,0.1,0.4,0.1
34,633.0,6865.0,10.845181674565561,0.976303317535545,5.628210063644693,0.05344465332301227,0.054567261501186154,-0.00012657443794538534,0.1,0.4,0.2
35,633.0,6865.0,10.845181674565561,0.9826224328593997,6.123247820294883,0.05493515058254561,0.05515257763912264,0.015882839472699573,0.1,0.4,0.30000000000000004
36,633.0,6865.0,10.845181674565561,0.9794628751974723,5.969046378735457,0.05333773293662334,0.05489355206460953,-0.01062313807560684,0.1,0.4,0.4
37,633.0,6865.0,10.845181674565561,0.9794628751974723,5.194059607350102,0.05583706400354209,0.055528054224617505,-0.0024807285847957615,0.1,0.4,0.5
38,633.0,6865.0,10.845181674565561,0.9778830963665087,5.555790521946411,0.058345446980054366,0.05751127947723145,0.010245488845237925,0.1,0.4,0.6
39,633.0,6865.0,10.845181674565561,0.985781990521327,7.944232925567248,0.054616363242426434,0.05309486848251927,0.005544164650236702,0.1,0.4,0.7000000000000001
40,633.0,6865.0,10.845181674565561,0.966824644549763,5.389994331431284,0.05712751795506714,0.057214007643160834,-0.008830034165291087,0.1,0.4,0.8
41,633.0,6865.0,10.845181674565561,0.976303317535545,4.736362360105289,0.05486449729658009,0.05480094650280087,-0.006397102042848121,0.1,0.4,0.9
42,633.0,6865.0,10.845181674565561,0.976303317535545,4.276695023260681,0.053819706498951785,0.054454840036002324,-0.017171415747807707,0.1,0.4,1.0
43,633.0,6865.0,10.845181674565561,0.9842022116903634,4.753722909021246,0.05432859986581424,0.054955897047818995,-0.00286111992365029,0.1,0.4,2.0
44,633.0,6865.0,10.845181674565561,0.990521327014218,7.2585248179079835,0.05225750170556854,0.05767980549256639,-0.0064540380799714085,0.1,0.5,0.1
