,AccorderieID,Name,Vertices,Edges,Max in-degree,Max out-degree,Mean degree,Average in-out degree,Average weighted in-out degree,Average in-out disbalance,Unique edges,Diameter,Radius,Density,Average path length,Reciprocity,Average eccentricity,Weakly connected component,Strongly connected component,Power law alpha,Global clustering coefficient,Average page rank,Homophily by degree,Homophily by age,Homophily by revenu,Homophily by ville,Homophily by region,Homophily by arrondissement,Homophily by adresse
0,104,Montréal-Nord,1011.0,8122.0,2494.0,1628.0,8.033630069238377,0.7397848326543751,0.7477166267829363,0.924912569001658,0.29204629401625215,9.0,1.0,0.00795408917746374,3.190629388174641,0.16744644176311255,1.977250247279921,0.9703264094955489,0.2166172106824926,2.526399682553232,0.16495501523206058,0.0009891196834817012,-0.305473748783832,-0.09518218569281242,-0.11639840333298145,0.043378165480092185,0.051603311059457924,0.11638819066884686,0.047492654818851
1,108,Rimouski-Neigette,274.0,2023.0,966.0,176.0,7.383211678832117,0.5035535311319231,0.49654588125220894,0.9048108168297513,0.2985664854176965,7.0,1.0,0.027044731424293467,2.911244750894292,0.12555610479485912,2.9927007299270074,0.9635036496350365,0.2773722627737226,2.3341795345546696,0.16112882391525815,0.00364963503649635,0.07001247741489966,-0.020310467025298134,-0.05986647997965642,0.14473224675745186,0.3348947279332303,0.30625332213096457,0.05499746582365384
2,109,Sherbrooke,632.0,6864.0,3565.0,297.0,10.860759493670885,0.41245589916990577,0.41842465961963693,0.9005078659895578,0.25393356643356646,10.0,1.0,0.017211980180144033,4.036756267224621,0.04836829836829837,4.8575949367088604,0.9651898734177216,0.310126582278481,2.5443627253553234,0.16589862922028564,0.0015822784810126578,0.3138670802447518,0.031592863484949205,0.032652983229292915,0.05258546072386488,0.004065719030104685,0.058957324065622804,0.033129375758273974
3,110,la Matanie,176.0,1954.0,737.0,204.0,11.102272727272727,0.4088342667859884,0.41029753607065605,0.831243693071497,0.3208802456499488,7.0,1.0,0.06344155844155844,2.8705257960997286,0.16581371545547594,3.8181818181818183,0.9545454545454546,0.5397727272727273,2.5463052637390167,0.32198667927169716,0.005681818181818182,-0.07918653429783455,-0.015060501071381883,-0.05558767014292618,0.011940582460109511,0.1090593029551681,-0.0008157071042459303,0.130049147152356
4,111,Portneuf,210.0,3219.0,1497.0,302.0,15.32857142857143,0.4625358545252444,0.47133016079357165,0.8325234651382434,0.2674743709226468,7.0,4.0,0.07334244702665756,3.1913718651386813,0.11245728487107798,3.842857142857143,1.0,0.5238095238095238,1.996006929050681,0.36804295353398736,0.004761904761904762,0.32123963583110926,-0.014521576092458488,-0.013161640700833444,0.07222442247761854,-0.005067983948094176,0.047989905163747626,0.08303241361638636
5,112,Granit,180.0,1198.0,576.0,115.0,6.655555555555556,0.47138126982798406,0.4661146442549411,0.8482538043442872,0.39232053422370616,8.0,1.0,0.03718187461204221,3.974389781206526,0.09849749582637729,4.261111111111111,0.9777777777777777,0.45,2.138405238075501,0.2370472718559282,0.005555555555555556,0.33166648760874584,0.042323099861677455,0.0028473004471431945,0.039624477538561687,-0.0027322930095637393,0.0,0.0060147751999436155
6,113,Montréal-Nord secteur Nord-Est,133.0,1140.0,530.0,144.0,8.571428571428571,0.5866783622318463,0.6474715529423648,0.8403745317619155,0.35175438596491226,8.0,1.0,0.06493506493506493,3.0699782451051485,0.10438596491228071,3.6842105263157894,0.9849624060150376,0.48872180451127817,1.8894848619930558,0.31289124241635197,0.007518796992481204,0.1594760063819415,0.1031411515648542,-0.011580199038018615,-0.015114235500877477,-0.003282431853860636,0.11701385280099783,0.20177939086375885
7,114,Rosemont,787.0,6740.0,1696.0,592.0,8.564167725540026,0.6500385108118029,0.6600654488722921,0.8880916896032176,0.3618694362017804,9.0,1.0,0.01089588769152675,3.8265504062073865,0.07626112759643917,2.8602287166454894,0.9834815756035579,0.3341804320203304,2.0474056173981836,0.10979535215977607,0.0012706480304955524,0.19893749000043198,0.06225008108457404,0.005748177945410015,0.01857044641684603,0.03233411480139969,0.13479274686898599,0.03654589452469517
8,115,Longueuil,576.0,9144.0,2691.0,488.0,15.875,0.6699502666126074,0.6570023827283192,0.8635386469439262,0.23851706036745407,8.0,1.0,0.027608695652173915,3.3207411084053295,0.10236220472440945,2.84375,0.9861111111111112,0.4357638888888889,2.3800417580853135,0.21063715332935062,0.001736111111111111,0.1794503687466473,0.009361988277653083,-0.0003911992428899043,0.052301226041349826,0.01443344693201949,0.03395004052857679,0.021280421470994803
9,116,Réseau Accorderie (du Qc),3.0,2.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,5.328085122666891,0.0,0.3333333333333333,nan,nan,0.0,0.0,0.0,0.0,0.0
