id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
9581,55-65,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,295
9604,66-80,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,366
9611,31-54,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,632
9630,31-54,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,576
9646,55-65,0,0,Montréal,Montréal,Côte-des-Neiges--Notre-Dame-de-Grâce,H3S,88,477
9649,31-54,0,0,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G1V,2,262
9650,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1M,2,554
9655,55-65,1,10001-20000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,535
9657,66-80,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,374
9659,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,396
9686,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,296
9692,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,350
9697,31-54,1,0,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,222
9703,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,468
9704,0,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,857
9713,31-54,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,372
9727,66-80,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,124
9734,81-95,0,0,Montréal,Montréal,Ahuntsic-Cartierville,H3L,88,507
9788,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,418
9806,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,255
9841,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,489
9853,55-65,1,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,364
9865,31-54,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,567
9866,31-54,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,568
9877,81-95,0,10001-20000,Québec,Capitale-Nationale,Les Rivières,G1R,2,266
9880,66-80,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,176
9886,66-80,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,196
9889,31-54,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,126
9911,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,381
9913,31-54,1,10001-20000,Lac-Beauport,Capitale-Nationale,,G1K,2,448
9920,66-80,1,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,127
9940,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,496
9954,0,1,0,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H2S,114,479
9955,31-54,0,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H2S,104,874
9969,31-54,1,50001-,Montréal,Montréal,Ville-Marie,H3K,88,347
9973,31-54,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,297
9974,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,200
9976,31-54,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,370
9977,31-54,0,20001-30000,Montréal,Montréal,Verdun,H4G,88,413
9979,31-54,0,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,551
9981,66-80,1,0-10000,Sherbrooke,Estrie,Lennoxville,G1K,109,204
9982,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,607
9985,31-54,0,10001-20000,Montréal,Montréal,Outremont,H2X,104,263
9990,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,585
9992,31-54,0,50001-,Québec,Capitale-Nationale,Beauport,G1E,2,596
9997,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,252
9999,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,506
10001,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,540
10006,31-54,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,215
10007,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,524
10008,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,562
10009,66-80,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,256
10029,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,459
10033,31-54,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,552
10038,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,492
10046,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,559
10061,66-80,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,281
10067,31-54,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,131
10069,31-54,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,390
10077,66-80,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,441
10086,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,104,561
10090,31-54,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,100
10099,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,451
10106,66-80,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,163
10108,31-54,1,0,Montréal,Montréal,Le Plateau-Mont-Royal,H2H,88,415
10118,31-54,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,491
10123,31-54,1,30001-50000,Québec,Capitale-Nationale,La Haute-Saint-Charles,G3K,2,406
10126,66-80,0,10001-20000,Beauceville,Chaudière-Appalaches,,G5X,104,612
10132,31-54,0,50001-,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H2P,104,527
10164,66-80,0,10001-20000,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G1X,2,157
10181,55-65,0,0,Bedford,Montérégie,,J0J,88,259
10184,66-80,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,431
10201,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,430
10214,31-54,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,324
10216,66-80,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,329
10224,0,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,88,359
10228,0,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,573
10233,66-80,1,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1G,104,505
10259,55-65,0,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,129
10260,31-54,0,30001-50000,Québec,Capitale-Nationale,Charlesbourg,G1H,2,164
10263,66-80,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1N,2,175
10272,31-54,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,416
10280,0,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1N,2,440
