degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity,accorderie_id, accorderie_name
-0.10927011776275436,0.5272155489644955,0.3783174593549501,-6.393142204478432,-0.03949099642288898,-0.07090674838323761,104,Montr�al-Nord
-0.3509015430672411,0.45076021807023375,-0.6034654641085319,-4.998256539765786,-0.8438546973103378,0.10639465372206368,108,Rimouski-Neigette
-0.30079482408686375,0.2711851783555493,0.5473907865650783,-5.701231592653096,0.561205572832128,0.09285371308004599,109,Sherbrooke
-0.24465624382899617,-0.559179277972661,-0.10704054491281019,-3.7803728449052345,0.16617093523598564,0.1171033459449829,110,La Matanie
-0.18243759696021083,-0.0414963854739963,-1.9534940293729426,-3.8400621411549434,0.05063661574938099,-0.18878077951998384,111,Portneuf
-0.26649963147943384,0.18149331487338755,-0.5885311507498373,-4.242914350523635,-0.16971167462643982,0.012472774469593198,112,Granit
-0.8343227604292819,-0.15593625335505126,0.3729038898807565,-3.7424108676400247,-0.6025854435657597,0.33464513655853934,113,Montr�al-Nord secteur Nord-Est
0.1575546559908502,-0.13000852856321962,-1.26667433079522,-5.437405806788504,0.5194981206480516,-0.24958646184972974,114,Rosemont
-0.3013072281968927,-0.04795360734878272,-0.0928851422739182,-4.992362097533455,0.4884746959318596,0.07379621622792706,115,Longueuil
-0.28768207245177785,-1.09861228866811,nan,nan,nan,nan,116,R�seau Accorderie (du Qc)
0.36887573520278866,0.3094155459658575,-0.43091713856298536,-4.050329685884685,-0.2913847560812603,0.16624538914666817,117,La Manicouagan
-1.4577647346268483,0.20517806228038546,0.2547522057791731,-3.918425620331487,0.8045682643501805,-0.7625273713479755,118,La Matap�dia
0.16377408927936987,0.7132000478325065,-1.2821071673801296,-3.9245932332571,0.4446229307085244,-0.6910609318502885,119,Grand Gasp�
0.07063019394131846,-0.6534647899181124,-0.07855604773450696,-3.3957474156161815,0.04394562183195055,-0.30602492166392664,120,Granby et r�gion
0.16480115100621923,0.017750812310462022,0.3410814558351879,-6.255555528998327,0.7946835606995211,-0.019655135785115935,2,Qu�bec
-0.08060249363926507,0.3624724403418366,0.8035816181577476,-5.680587649513008,-0.17726664881185844,0.09967802860822317,86,Trois-Rivi�res
0.4133971456373671,0.053858538874082554,0.020351482207924602,-5.888016589960608,0.4563386427611619,-0.37824322799263216,88,Mercier-Hochelaga-M.
-0.19868833561852564,0.1669168064626799,-0.600393752555579,-5.321678090700552,0.5599224594429071,-0.3165545942881786,92,Shawinigan
