,Vertices,Edges,Diameter,Radius,Density,Average path lenght,Reciprocity,Eccentricity,Clustering coefficient,Edge betweenness,target1,target2,target3
0,633.0,6865.0,9.0,0.0,0.01716009758633791,3.454308021833759,0.0157319737800437,6.420221169036335,0.05760863726701402,182.8575662631886,0.1, 0.1, 0.1
1,633.0,6865.0,9.0,0.0,0.01716009758633791,3.311247992912906,0.01893663510560816,5.590837282780411,0.06399746153285962,175.181393967933,0.1, 0.1, 0.2
2,633.0,6865.0,10.0,0.0,0.01716009758633791,3.412074224707677,0.01398397669337218,6.82306477093207,0.06203028308097432,176.776785130725,0.1, 0.1, 0.3
3,633.0,6865.0,9.0,0.0,0.01716009758633791,3.341584242596004,0.01864530225782957,5.900473933649289,0.06384891621670499,172.4805193678938,0.1, 0.1, 0.4
4,633.0,6865.0,11.0,0.0,0.01716009758633791,3.400091965554719,0.013401310997815,5.962085308056872,0.07162655638171499,178.5633141692336,0.1, 0.1, 0.5
5,633.0,6865.0,8.0,0.0,0.01716009758633791,3.278224347050258,0.01864530225782957,5.246445497630332,0.06276748981854734,170.9956987599986,0.1, 0.1, 0.6
6,633.0,6865.0,8.0,0.0,0.01716009758633791,3.342827294689419,0.01456664238892935,5.521327014218009,0.06136079472015447,172.3787630279774,0.1, 0.1, 0.7
7,633.0,6865.0,11.0,0.0,0.01716009758633791,3.37504673758135,0.01893663510560816,7.306477093206951,0.06154356374662434,182.3508004785735,0.1, 0.1, 0.8
8,633.0,6865.0,10.0,0.0,0.01716009758633791,3.316147873659475,0.01456664238892935,6.477093206951027,0.06416643625873159,171.953133505754,0.1, 0.1, 0.9
9,633.0,6865.0,8.0,0.0,0.01716009758633791,3.296683584551166,0.01777130371449381,5.503949447077409,0.06491880678160097,170.2531165390283,0.1, 0.1, 1.0
10,633.0,6865.0,10.0,0.0,0.01716009758633791,3.345910319649974,0.01951930080116533,5.560821484992101,0.06233676868460973,175.667725126568,0.1, 0.1, 2.0
11,633.0,6865.0,8.0,0.0,0.01716009758633791,3.310637721281553,0.0157319737800437,5.263823064770932,0.05968295404307278,182.3043810587614,0.1, 0.2, 0.1
12,633.0,6865.0,8.0,0.0,0.01716009758633791,3.369423428815054,0.01514930808448653,6.086887835703002,0.06128930817610063,186.2642613390341,0.1, 0.2, 0.2
13,633.0,6865.0,8.0,0.0,0.01716009758633791,3.340706900061601,0.01747997086671522,5.511848341232228,0.06101090125154651,184.739713670216,0.1, 0.2, 0.3
