"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"925";"J";"108";"Cartonnerie";"0";"-1";"Fabrique pour vous objets divers à base de carton: boîtes, étuis, coffrets, etc. sur mesure, décorés ou non";"4"
"926";"J";"108";"Fabrication papier décor";"0";"-1";"Fabrique pour vous papiers décor (à la colle, à la cire, etc.) selon vos besoins";"5"
"927";"B";"108";"Chanteur";"0";"-1";"Chanteur soliste pouvant chanter pour événement, spectacle ou autre projet musical";"10"
"928";"D";"106";"Confection dentelles";"0";"-1";"Peut confectionner de la dentelle";"6"
"929";"B";"106";"Travaux broderie-X-mal placée-106-D-7";"-1";"-1";"Peut broder divers objets";"7"
"930";"D";"106";"Travaux broderie";"0";"-1";"Peut broder divers objets";"7"
"931";"G";"108";"Réalisation tableau à l'aquarelle";"0";"-1";"Réalise des tableaux à la peinture aquarelle, selon vos demandes";"41"
"932";"A";"106";"Peinture sur soie";"0";"-1";"Fait peinture sur objets ou vêtements en soie, par ex. foulard";"16"
"933";"C";"111";"Découverte escaliers de Québec";"0";"-1";"Visite guidée de divers escaliers entre la haute et la basse ville de Québec: histoire, particularités, etc.";"8"
"934";"C";"105";"Initiation cuisine espagnole";"0";"-1";"Initiation à la cuisine espagnole";"31"
"935";"H";"103";"Covoiturage de Shawinigan vers Québec";"0";"-1";"Possibilité de covoiturage en direction de Québec";"1"
"936";"H";"103";"Covoiturage de Shawinigan vers Montréal";"0";"-1";"Possibilité de covoiturage en direction de Montréal";"2"
"937";"H";"103";"Covoiturage de Shawinigan vers Trois-Rivières";"0";"-1";"Possibilité de covoiturage en direction de Trois-Rivières";"3"
"938";"A";"102";"Initiation logiciel de correction / Antidote";"0";"-1";"Initiation à des logiciels de correction du français et d'aide à la rédaction comme Antidote";"15"
"939";"A";"102";"Initiation logiciel de messagerie / Outlook";"0";"-1";"Initiation à des logiciels de courrier électronique et gestionnaires de tâches comme Outlook, Thunderbird, etc.";"14"
"940";"A";"110";"Informations nutrition";"0";"-1";"Vous donne diverses informations sur la nutrition";"11"
"941";"D";"108";"Conteur";"0";"-1";"Prestation comme conteur lors d'événements divers";"11"
"942";"B";"107";"Interprétation simultanée français-portugais";"0";"-1";"Interprétation simultanée du français au portugais et inversement";"35"
"943";"C";"107";"Conversation portugaise";"0";"-1";"Conversation en portugais";"19"
"944";"A";"102";"Initiation composition musique par ordinateur";"0";"-1";"Initiation à des logiciels de composition musicale comme Finale";"16"
"945";"A";"109";"Officiel mineur hockey";"0";"-1";"Officiel mineur pour le hockey sur glace et/ou hockey cosom (tableau indicateur, feuille de joute, indiquer si le but est bon, etc.)";"40"
"946";"A";"109";"Officiel mineur soccer";"0";"-1";"Officiel mineur pour le soccer (opérer le tableau indicateur, etc.)";"41"
"947";"A";"109";"Officiel mineur football";"0";"-1";"Officiel mineur pour le football (tableau indicateur, chronométrer le temps principal et les 20 secondes, feuille de joute, chaîneur, etc.)";"42"
"948";"A";"109";"Officiel mineur baseball / balle-molle";"0";"-1";"Officiel mineur pour le baseball et/ou la balle-molle (tableau indicateur, feuille de joute, etc.)";"43"
"949";"A";"109";"Statisticien hockey";"0";"-1";"Compiler les différentes statistiques sur le hockey (buts, aides, punitions, lancers, temps de jeu, etc.)";"50"
"950";"A";"109";"Statisticien soccer";"0";"-1";"Compiler les différentes statistiques sur le soccer (buts, aides, cartons jaunes / rouges, coup francs, corners, temps de jeu, etc.)";"51"
"951";"A";"109";"Statisticien football";"0";"-1";"Compiler les différentes statistiques sur le football (touchés, placements, verges gagnées et perdues, interceptions, punitions, temps de jeu, etc.)";"52"
"952";"A";"109";"Annonceur-maison hockey";"0";"-1";"Annonceur au micro pour parties de hockey (buts, aides, alignements partants, punitions, dernière minute de chaque période, etc.)";"60"
"953";"A";"109";"Annonceur-maison soccer";"0";"-1";"Annonceur au micro pour parties de soccer (buts, aides, cartons jaunes / rouges, alignements partants, etc.)";"61"
"954";"A";"109";"Annonceur-maison football";"0";"-1";"Annonceur au micro pour parties de football (auteur du jeu offensif ou défensif, gains, pertes, essai et verges à parcourir, pointage, etc.)";"62"
"955";"A";"109";"Annonceur-maison baseball / balle-molle";"0";"-1";"Annonceur au micro pour parties de baseball ou balle-molle (prochain frappeur, alignements partants, pointage, etc.)";"63"
"956";"B";"109";"Formation officiel mineur hockey";"0";"-1";"Peut former de nouveaux officiels mineurs pour le hockey";"61"
"957";"C";"111";"Tour guidé centre-ville de Montréal";"0";"-1";"Visite guidée du centre-ville de Montréal";"25"
"958";"C";"111";"Tour guidé Outremont (Montréal)";"0";"-1";"Visite guidée de l'arrondissement Outremont à Montréal";"26"
"959";"C";"111";"Tour guidé Côte-des-Neiges/Notre-Dame-de-Grâce (Montréal)";"0";"-1";"Visite guidée de l'arrondissement Côte-des-Neiges/Notre-Dame-de-Grâce à Montréal";"27"
"960";"C";"111";"Tour guidé Rosemont/Petite-Patrie (Montréal)";"0";"-1";"Visite guidée de l'arrondissement Rosemont/Petite-Patrie à Montréal";"28"
"961";"E";"101";"Organisation bibliothèque personnelle";"0";"-1";"Vous aide à classer vos livres et organiser votre bibliothèque à la maison";"10"
"962";"Z";"103";"Conducteur camion";"0";"-1";"Peut conduire un camion";"4"
"963";"D";"109";"Partenaire danses latines";"0";"-1";"Peut être votre partenaire pour pratiquer des danses latines (salsa, merengue, etc.)";"31"
"964";"E";"110";"Coiffure pour homme";"0";"-1";"Peut couper et coiffer les cheveux pour les hommes";"7"
"965";"F";"103";"Covoiturage de Montréal vers Drummondville";"0";"-1";"Possibilité de covoiturage en direction de Drummondville";"3"
"966";"E";"109";"Animation jeu de rôle (maître de jeu)";"0";"-1";"Maître de jeu pour jeu de rôle en petit groupe";"41"
"967";"C";"106";"Initiation couture à la main";"0";"-1";"Initiation à la couture à la main pour divers travaux de couture";"31"
"968";"C";"106";"Initiation courtepointe";"0";"-1";"Initiation à la confection de courtepointe (patchwork)";"32"
"969";"F";"109";"Livraison animée de fleurs ou ballons";"0";"-1";"Peut aller porter, de façon originale, un bouquet de fleurs ou de ballons à la personne et au lieu désirés (par ex. pour un anniversaire, à l'hôpital, etc.)";"10"
"970";"B";"109";"Initiation course à pied";"0";"-1";"Initiation à la course à pied";"17"
"971";"G";"103";"Covoiturage dans la ville de Shawinigan";"0";"-1";"Possibilité de covoiturage occasionnel ou fréquent à Shawinigan et autour (aucuns frais d'essence ne peuvent être exigés)";"4"
"972";"G";"103";"Covoiturage dans la ville de Trois-Rivières";"0";"-1";"Possibilité de covoiturage occasionnel ou fréquent dans l'agglomération de Trois-Rivières (aucuns frais d'essence ne peuvent être exigés)";"2"
"973";"G";"103";"Covoiturage dans la ville de Montréal";"0";"-1";"Possibilité de covoiturage occasionnel ou fréquent dans l'agglomération de Montréal (aucuns frais d'essence ne peuvent être exigés)";"3"
