id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
948,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9519
954,31-54,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,9515
958,81-95,0,0-10000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9510
959,81-95,1,0,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9511
968,0,1,30001-50000,Brossard,Montérégie,,J4Z,115,9500
969,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9501
978,66-80,0,10001-20000,Montréal,Montréal,Le Plateau-Mont-Royal,H2H,114,9492
984,31-54,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9487
990,31-54,0,50001-,Saint-Denis-sur-Richelieu,Montérégie,,J0H,115,9479
992,66-80,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9481
995,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9477
996,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9478
1003,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9467
1006,31-54,0,0-10000,Brossard,Montérégie,,J4W,115,9455
1019,0,0,20001-30000,Brossard,Montérégie,,J4Z,115,9445
1023,55-65,0,20001-30000,Candiac,Montérégie,,J5R,115,9448
1026,66-80,0,20001-30000,Candiac,Montérégie,,J5R,115,9451
1035,55-65,1,30001-50000,Saint-Jean-de-Matha,Lanaudière,,J0K,115,9434
1036,0,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9435
1037,55-65,1,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9436
1043,55-65,0,20001-30000,Brossard,Montérégie,,J4Z,115,9421
1060,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9412
1062,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9410
1066,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9404
1087,66-80,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9384
1094,0,1,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,9369
1095,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9370
1096,0,0,30001-50000,Brossard,Montérégie,,J4X,115,9371
1097,66-80,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,9372
1098,55-65,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9373
1099,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9374
1100,66-80,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9375
1101,0,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9376
1114,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4R,115,9357
1131,31-54,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,9344
1135,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9330
1136,55-65,1,0-10000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9331
1139,55-65,0,30001-50000,Varennes,Montérégie,,J3X,115,9334
1147,0,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4R,115,9320
1149,31-54,1,30001-50000,Delson,Montérégie,,J5B,115,9322
1151,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9318
1172,55-65,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9294
1173,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9295
1175,31-54,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,9297
1176,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9298
1177,31-54,0,20001-30000,Longueuil,Montérégie,Greenfield Park,J4V,115,9299
1178,66-80,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9300
1191,31-54,1,50001-,Saint-Mathieu,Montérégie,,J0L,115,9323
1192,31-54,0,50001-,Saint-Mathieu,Montérégie,,J0L,115,9324
1201,31-54,1,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9281
1203,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9262
1204,31-54,0,0-10000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9263
1205,66-80,1,10001-20000,Verchères,Montérégie,,J0L,115,9264
1206,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9265
1229,31-54,0,10001-20000,Saint-Constant,Montérégie,,J5A,115,9241
1230,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9242
1235,31-54,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9232
1236,31-54,0,50001-,Brossard,Montérégie,,J4Y,115,9233
1237,66-80,0,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,9234
1238,0,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9235
1239,31-54,0,50001-,Longueuil,Montérégie,Greenfield Park,J4V,115,9236
1250,31-54,0,50001-,Saint-Lambert,Montérégie,,J4P,115,9225
1251,31-54,0,50001-,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9226
1253,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9228
1254,31-54,0,0,Longueuil,Montérégie,Greenfield Park,J4V,115,9229
1255,55-65,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9230
1261,31-54,0,30001-50000,Boucherville,Montérégie,,J4B,115,9207
1262,81-95,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9208
1266,81-95,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9206
1285,66-80,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9183
1286,66-80,0,50001-,Brossard,Montérégie,,J4X,115,9184
1317,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9151
1319,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9153
1329,31-54,0,50001-,Saint-Jean-sur-Richelieu,Montérégie,,J2W,115,9137
1330,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9138
1348,55-65,0,20001-30000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9120
1382,66-80,0,10001-20000,Brossard,Montérégie,,J4W,115,9087
