,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.12280701754385964,0.07017543859649122,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.38596491228070173,0.0,0.0,0.03508771929824561,0.0,0.05263157894736842,0.0,0.0,0.0,0.22807017543859648
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0006261740763932373,0.0,0.0,0.10519724483406387,0.08766437069505323,0.007514088916718848,0.0,0.0,0.001878522229179712,0.0006261740763932373,0.0,0.0006261740763932373,0.7514088916718847,0.0,0.0,0.012523481527864746,0.0,0.0,0.0,0.0,0.0,0.031934877896055106
6,0.0,0.0,0.004398826979472141,0.0,0.0,0.17668621700879766,0.1906158357771261,0.0021994134897360706,0.0,0.0,0.0036656891495601175,0.017595307917888565,0.0,0.0007331378299120235,0.5483870967741935,0.002932551319648094,0.0,0.02346041055718475,0.004398826979472141,0.0,0.0,0.0,0.0007331378299120235,0.024193548387096774
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.005681818181818182,0.03409090909090909,0.0,0.0,0.017045454545454544,0.045454545454545456,0.03409090909090909,0.4602272727272727,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.25,0.005681818181818182,0.0,0.0,0.028409090909090908,0.011363636363636364,0.011363636363636364,0.0,0.011363636363636364,0.07386363636363637
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.005088062622309198,0.0,0.0003913894324853229,0.10371819960861056,0.07397260273972603,0.0035225048923679062,0.0003913894324853229,0.0003913894324853229,0.0003913894324853229,0.007436399217221135,0.0,0.0,0.736986301369863,0.0027397260273972603,0.0,0.019569471624266144,0.0003913894324853229,0.0,0.0,0.0,0.0007827788649706458,0.04422700587084149
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.011725293132328308,0.0,0.0,0.12897822445561138,0.23450586264656617,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.5494137353433836,0.0,0.0,0.038525963149078725,0.0,0.0,0.0,0.0,0.0016750418760469012,0.03015075376884422
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
