,0,1,2,3,4,5,6,7,8
0,0.3,1.0,1.0,1.0,1.0,1.0,0.21899999999999997,0.8479999999999996,0.9210000000000004
1,0.7000000000000001,0.3,0.7000000000000001,1.0,1.0,1.0,0.7010000000000005,0.32799999999999996,0.7110000000000002
2,0.4,0.8,0.7000000000000001,1.0,1.0,1.0,0.3969999999999998,0.8099999999999997,0.728
3,0.8,0.2,0.8,1.0,1.0,1.0,0.8129999999999997,0.28600000000000003,0.7830000000000004
4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0.1,0.9,0.9,1.0,1.0,1.0,0.20900000000000002,0.8429999999999999,0.892
7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.7000000000000001,0.7000000000000001,0.9,1.0,1.0,1.0,0.6790000000000004,0.67,0.884
9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
14,0.2,0.3,1.0,1.0,1.0,1.0,0.23800000000000018,0.29399999999999993,0.922
15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16,0.3,0.7000000000000001,0.7000000000000001,1.0,1.0,1.0,0.20199999999999993,0.8240000000000002,0.7130000000000004
17,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
19,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
21,0.5,1.0,0.7000000000000001,1.0,1.0,1.0,0.4089999999999997,0.8490000000000002,0.7030000000000001
22,0.9,0.5,0.7000000000000001,1.0,1.0,1.0,0.8369999999999996,0.40199999999999997,0.7390000000000003
23,0.8,0.9,1.0,1.0,1.0,1.0,0.8420000000000001,0.8309999999999998,0.9420000000000005
24,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
27,1.0,0.6,0.6,1.0,1.0,1.0,0.9990000000000001,0.3669999999999998,0.6740000000000005
28,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
30,1.0,1.0,2.0,1.0,1.0,1.0,0.8229999999999998,0.7119999999999997,2.0
31,0.2,0.9,2.0,1.0,1.0,1.0,0.265,0.7459999999999997,1.9880000000000002
32,0.3,0.5,1.0,1.0,1.0,1.0,0.241,0.40299999999999975,0.9490000000000005
33,0.4,0.9,2.0,1.0,1.0,1.0,0.31800000000000006,0.7779999999999997,2.0
34,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
35,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
36,1.0,0.8,0.7000000000000001,1.0,1.0,1.0,0.9239999999999998,0.8690000000000003,0.7200000000000008
37,0.5,1.0,2.0,1.0,1.0,1.0,0.49200000000000016,0.6809999999999995,2.0
38,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
